,DATE,RATE
1,2010-01-01,2.01
2,2010-01-02,2.01
3,2010-01-03,2.01
4,2010-01-04,1.99
5,2010-01-05,1.98
6,2010-01-06,1.96
7,2010-01-07,2.0
8,2010-01-08,2.0
9,2010-01-09,2.0
10,2010-01-10,2.0
11,2010-01-11,2.0
12,2010-01-12,2.0
13,2010-01-13,2.0
14,2010-01-14,2.0
15,2010-01-15,2.0
16,2010-01-16,2.0
17,2010-01-17,2.0
18,2010-01-18,1.99
19,2010-01-19,1.99
20,2010-01-20,1.97
21,2010-01-21,2.01
22,2010-01-22,2.0
23,2010-01-23,2.0
24,2010-01-24,2.0
25,2010-01-25,2.01
26,2010-01-26,2.01
27,2010-01-27,2.01
28,2010-01-28,2.01
29,2010-01-29,2.01
30,2010-01-30,2.01
31,2010-01-31,2.01
32,2010-02-01,2.01
33,2010-02-02,2.0
34,2010-02-03,2.0
35,2010-02-04,2.0
36,2010-02-05,2.0
37,2010-02-06,2.0
38,2010-02-07,2.0
39,2010-02-08,2.0
40,2010-02-09,1.99
41,2010-02-10,1.97
42,2010-02-11,2.02
43,2010-02-12,2.02
44,2010-02-13,2.02
45,2010-02-14,2.02
46,2010-02-15,2.02
47,2010-02-16,2.02
48,2010-02-17,2.02
49,2010-02-18,2.02
50,2010-02-19,2.01
51,2010-02-20,2.01
52,2010-02-21,2.01
53,2010-02-22,1.98
54,2010-02-23,1.92
55,2010-02-24,1.9
56,2010-02-25,2.02
57,2010-02-26,2.02
58,2010-02-27,2.02
59,2010-02-28,2.02
60,2010-03-01,2.02
61,2010-03-02,2.02
62,2010-03-03,2.01
63,2010-03-04,2.02
64,2010-03-05,2.01
65,2010-03-06,2.01
66,2010-03-07,2.01
67,2010-03-08,2.02
68,2010-03-09,2.02
69,2010-03-10,1.99
70,2010-03-11,2.02
71,2010-03-12,2.02
72,2010-03-13,2.02
73,2010-03-14,2.02
74,2010-03-15,2.01
75,2010-03-16,2.01
76,2010-03-17,2.0
77,2010-03-18,2.01
78,2010-03-19,2.01
79,2010-03-20,2.01
80,2010-03-21,2.01
81,2010-03-22,2.01
82,2010-03-23,2.0
83,2010-03-24,2.0
84,2010-03-25,2.01
85,2010-03-26,2.0
86,2010-03-27,2.0
87,2010-03-28,2.0
88,2010-03-29,2.0
89,2010-03-30,1.99
90,2010-03-31,2.0
91,2010-04-01,1.99
92,2010-04-02,2.0
93,2010-04-03,2.0
94,2010-04-04,2.0
95,2010-04-05,2.0
96,2010-04-06,2.02
97,2010-04-07,2.02
98,2010-04-08,2.02
99,2010-04-09,2.0
100,2010-04-10,2.0
101,2010-04-11,2.0
102,2010-04-12,2.01
103,2010-04-13,2.01
104,2010-04-14,2.0
105,2010-04-15,2.0
106,2010-04-16,1.99
107,2010-04-17,1.99
108,2010-04-18,1.99
109,2010-04-19,2.0
110,2010-04-20,2.0
111,2010-04-21,2.01
112,2010-04-22,2.0
113,2010-04-23,2.0
114,2010-04-24,2.0
115,2010-04-25,2.0
116,2010-04-26,2.01
117,2010-04-27,2.01
118,2010-04-28,2.01
119,2010-04-29,2.0
120,2010-04-30,2.0
121,2010-05-01,2.0
122,2010-05-02,2.0
123,2010-05-03,2.0
124,2010-05-04,2.05
125,2010-05-05,2.05
126,2010-05-06,2.02
127,2010-05-07,2.01
128,2010-05-08,2.01
129,2010-05-09,2.01
130,2010-05-10,2.01
131,2010-05-11,2.01
132,2010-05-12,2.01
133,2010-05-13,2.01
134,2010-05-14,2.01
135,2010-05-15,2.01
136,2010-05-16,2.01
137,2010-05-17,2.02
138,2010-05-18,2.01
139,2010-05-19,2.01
140,2010-05-20,2.02
141,2010-05-21,2.02
142,2010-05-22,2.02
143,2010-05-23,2.02
144,2010-05-24,2.02
145,2010-05-25,2.02
146,2010-05-26,1.99
147,2010-05-27,1.98
148,2010-05-28,1.98
149,2010-05-29,1.98
150,2010-05-30,1.98
151,2010-05-31,2.0
152,2010-06-01,1.99
153,2010-06-02,1.99
154,2010-06-03,1.99
155,2010-06-04,1.98
156,2010-06-05,1.98
157,2010-06-06,1.98
158,2010-06-07,1.99
159,2010-06-08,1.95
160,2010-06-09,1.97
161,2010-06-10,2.02
162,2010-06-11,2.02
163,2010-06-12,2.02
164,2010-06-13,2.02
165,2010-06-14,2.02
166,2010-06-15,2.02
167,2010-06-16,2.01
168,2010-06-17,2.01
169,2010-06-18,2.0
170,2010-06-19,2.0
171,2010-06-20,2.0
172,2010-06-21,2.01
173,2010-06-22,2.01
174,2010-06-23,1.97
175,2010-06-24,2.02
176,2010-06-25,2.02
177,2010-06-26,2.02
178,2010-06-27,2.02
179,2010-06-28,1.99
180,2010-06-29,1.95
181,2010-06-30,2.03
182,2010-07-01,1.99
183,2010-07-02,1.99
184,2010-07-03,1.99
185,2010-07-04,1.99
186,2010-07-05,2.01
187,2010-07-06,2.05
188,2010-07-07,2.04
189,2010-07-08,2.02
190,2010-07-09,2.26
191,2010-07-10,2.26
192,2010-07-11,2.26
193,2010-07-12,2.27
194,2010-07-13,2.26
195,2010-07-14,2.26
196,2010-07-15,2.27
197,2010-07-16,2.25
198,2010-07-17,2.25
199,2010-07-18,2.25
200,2010-07-19,2.26
201,2010-07-20,2.27
202,2010-07-21,2.27
203,2010-07-22,2.27
204,2010-07-23,2.27
205,2010-07-24,2.27
206,2010-07-25,2.27
207,2010-07-26,2.27
208,2010-07-27,2.27
209,2010-07-28,2.27
210,2010-07-29,2.28
211,2010-07-30,2.28
212,2010-07-31,2.28
213,2010-08-01,2.28
214,2010-08-02,2.28
215,2010-08-03,2.27
216,2010-08-04,2.27
217,2010-08-05,2.28
218,2010-08-06,2.27
219,2010-08-07,2.27
220,2010-08-08,2.27
221,2010-08-09,2.28
222,2010-08-10,2.28
223,2010-08-11,2.29
224,2010-08-12,2.27
225,2010-08-13,2.27
226,2010-08-14,2.27
227,2010-08-15,2.27
228,2010-08-16,2.27
229,2010-08-17,2.27
230,2010-08-18,2.27
231,2010-08-19,2.28
232,2010-08-20,2.28
233,2010-08-21,2.28
234,2010-08-22,2.28
235,2010-08-23,2.26
236,2010-08-24,2.3
237,2010-08-25,2.3
238,2010-08-26,2.28
239,2010-08-27,2.28
240,2010-08-28,2.28
241,2010-08-29,2.28
242,2010-08-30,2.27
243,2010-08-31,2.28
244,2010-09-01,2.27
245,2010-09-02,2.27
246,2010-09-03,2.27
247,2010-09-04,2.27
248,2010-09-05,2.27
249,2010-09-06,2.26
250,2010-09-07,2.26
251,2010-09-08,2.27
252,2010-09-09,2.27
253,2010-09-10,2.27
254,2010-09-11,2.27
255,2010-09-12,2.27
256,2010-09-13,2.27
257,2010-09-14,2.27
258,2010-09-15,2.28
259,2010-09-16,2.28
260,2010-09-17,2.28
261,2010-09-18,2.28
262,2010-09-19,2.28
263,2010-09-20,2.28
264,2010-09-21,2.28
265,2010-09-22,2.28
266,2010-09-23,2.28
267,2010-09-24,2.28
268,2010-09-25,2.28
269,2010-09-26,2.28
270,2010-09-27,2.27
271,2010-09-28,2.27
272,2010-09-29,2.26
273,2010-09-30,2.27
274,2010-10-01,2.27
275,2010-10-02,2.27
276,2010-10-03,2.27
277,2010-10-04,2.24
278,2010-10-05,2.18
279,2010-10-06,2.2
280,2010-10-07,2.28
281,2010-10-08,2.27
282,2010-10-09,2.27
283,2010-10-10,2.27
284,2010-10-11,2.27
285,2010-10-12,2.27
286,2010-10-13,2.27
287,2010-10-14,2.28
288,2010-10-15,2.27
289,2010-10-16,2.27
290,2010-10-17,2.27
291,2010-10-18,2.26
292,2010-10-19,2.28
293,2010-10-20,2.29
294,2010-10-21,2.28
295,2010-10-22,2.28
296,2010-10-23,2.28
297,2010-10-24,2.28
298,2010-10-25,2.25
299,2010-10-26,2.24
300,2010-10-27,2.24
301,2010-10-28,2.24
302,2010-10-29,2.26
303,2010-10-30,2.26
304,2010-10-31,2.26
305,2010-11-01,2.24
306,2010-11-02,2.23
307,2010-11-03,2.24
308,2010-11-04,2.24
309,2010-11-05,2.24
310,2010-11-06,2.24
311,2010-11-07,2.24
312,2010-11-08,2.24
313,2010-11-09,2.27
314,2010-11-10,2.26
315,2010-11-11,2.24
316,2010-11-12,2.24
317,2010-11-13,2.24
318,2010-11-14,2.24
319,2010-11-15,2.24
320,2010-11-16,2.49
321,2010-11-17,2.5
322,2010-11-18,2.5
323,2010-11-19,2.5
324,2010-11-20,2.5
325,2010-11-21,2.5
326,2010-11-22,2.51
327,2010-11-23,2.52
328,2010-11-24,2.54
329,2010-11-25,2.5
330,2010-11-26,2.5
331,2010-11-27,2.5
332,2010-11-28,2.5
333,2010-11-29,2.5
334,2010-11-30,2.51
335,2010-12-01,2.5
336,2010-12-02,2.5
337,2010-12-03,2.5
338,2010-12-04,2.5
339,2010-12-05,2.5
340,2010-12-06,2.5
341,2010-12-07,2.52
342,2010-12-08,2.52
343,2010-12-09,2.51
344,2010-12-10,2.5
345,2010-12-11,2.5
346,2010-12-12,2.5
347,2010-12-13,2.5
348,2010-12-14,2.49
349,2010-12-15,2.49
350,2010-12-16,2.5
351,2010-12-17,2.49
352,2010-12-18,2.49
353,2010-12-19,2.49
354,2010-12-20,2.5
355,2010-12-21,2.52
356,2010-12-22,2.53
357,2010-12-23,2.5
358,2010-12-24,2.5
359,2010-12-25,2.5
360,2010-12-26,2.5
361,2010-12-27,2.5
362,2010-12-28,2.49
363,2010-12-29,2.49
364,2010-12-30,2.49
365,2010-12-31,2.51
366,2011-01-01,2.51
367,2011-01-02,2.51
368,2011-01-03,2.49
369,2011-01-04,2.5
370,2011-01-05,2.49
371,2011-01-06,2.49
372,2011-01-07,2.49
373,2011-01-08,2.49
374,2011-01-09,2.49
375,2011-01-10,2.49
376,2011-01-11,2.5
377,2011-01-12,2.5
378,2011-01-13,2.74
379,2011-01-14,2.74
380,2011-01-15,2.74
381,2011-01-16,2.74
382,2011-01-17,2.74
383,2011-01-18,2.76
384,2011-01-19,2.77
385,2011-01-20,2.75
386,2011-01-21,2.75
387,2011-01-22,2.75
388,2011-01-23,2.75
389,2011-01-24,2.75
390,2011-01-25,2.75
391,2011-01-26,2.74
392,2011-01-27,2.74
393,2011-01-28,2.74
394,2011-01-29,2.74
395,2011-01-30,2.74
396,2011-01-31,2.75
397,2011-02-01,2.75
398,2011-02-02,2.75
399,2011-02-03,2.75
400,2011-02-04,2.75
401,2011-02-05,2.75
402,2011-02-06,2.75
403,2011-02-07,2.75
404,2011-02-08,2.78
405,2011-02-09,2.77
406,2011-02-10,2.75
407,2011-02-11,2.75
408,2011-02-12,2.75
409,2011-02-13,2.75
410,2011-02-14,2.75
411,2011-02-15,2.74
412,2011-02-16,2.75
413,2011-02-17,2.75
414,2011-02-18,2.75
415,2011-02-19,2.75
416,2011-02-20,2.75
417,2011-02-21,2.75
418,2011-02-22,2.75
419,2011-02-23,2.75
420,2011-02-24,2.76
421,2011-02-25,2.76
422,2011-02-26,2.76
423,2011-02-27,2.76
424,2011-02-28,2.76
425,2011-03-01,2.76
426,2011-03-02,2.75
427,2011-03-03,2.75
428,2011-03-04,2.75
429,2011-03-05,2.75
430,2011-03-06,2.75
431,2011-03-07,2.76
432,2011-03-08,2.75
433,2011-03-09,2.75
434,2011-03-10,2.99
435,2011-03-11,2.97
436,2011-03-12,2.97
437,2011-03-13,2.97
438,2011-03-14,2.96
439,2011-03-15,2.99
440,2011-03-16,3.0
441,2011-03-17,2.99
442,2011-03-18,2.99
443,2011-03-19,2.99
444,2011-03-20,2.99
445,2011-03-21,2.99
446,2011-03-22,3.01
447,2011-03-23,3.02
448,2011-03-24,3.0
449,2011-03-25,2.99
450,2011-03-26,2.99
451,2011-03-27,2.99
452,2011-03-28,2.99
453,2011-03-29,2.98
454,2011-03-30,2.98
455,2011-03-31,2.98
456,2011-04-01,2.98
457,2011-04-02,2.98
458,2011-04-03,2.98
459,2011-04-04,2.99
460,2011-04-05,3.03
461,2011-04-06,3.04
462,2011-04-07,3.01
463,2011-04-08,3.01
464,2011-04-09,3.01
465,2011-04-10,3.01
466,2011-04-11,3.01
467,2011-04-12,3.0
468,2011-04-13,3.01
469,2011-04-14,3.01
470,2011-04-15,3.01
471,2011-04-16,3.01
472,2011-04-17,3.01
473,2011-04-18,3.0
474,2011-04-19,3.03
475,2011-04-20,3.04
476,2011-04-21,3.02
477,2011-04-22,3.02
478,2011-04-23,3.02
479,2011-04-24,3.02
480,2011-04-25,3.02
481,2011-04-26,3.02
482,2011-04-27,3.01
483,2011-04-28,3.01
484,2011-04-29,3.02
485,2011-04-30,3.02
486,2011-05-01,3.02
487,2011-05-02,3.01
488,2011-05-03,3.01
489,2011-05-04,3.01
490,2011-05-05,3.01
491,2011-05-06,3.01
492,2011-05-07,3.01
493,2011-05-08,3.01
494,2011-05-09,3.05
495,2011-05-10,3.05
496,2011-05-11,3.03
497,2011-05-12,3.02
498,2011-05-13,3.02
499,2011-05-14,3.02
500,2011-05-15,3.02
501,2011-05-16,3.03
502,2011-05-17,3.03
503,2011-05-18,3.03
504,2011-05-19,3.02
505,2011-05-20,3.02
506,2011-05-21,3.02
507,2011-05-22,3.02
508,2011-05-23,3.02
509,2011-05-24,3.06
510,2011-05-25,3.05
511,2011-05-26,3.02
512,2011-05-27,3.03
513,2011-05-28,3.03
514,2011-05-29,3.03
515,2011-05-30,3.03
516,2011-05-31,3.03
517,2011-06-01,3.02
518,2011-06-02,3.02
519,2011-06-03,3.0
520,2011-06-04,3.0
521,2011-06-05,3.0
522,2011-06-06,3.0
523,2011-06-07,3.04
524,2011-06-08,3.01
525,2011-06-09,3.02
526,2011-06-10,3.26
527,2011-06-11,3.26
528,2011-06-12,3.26
