,DATE,RATE,shift,label
1,2009-11-27,2.0,0.0,up
2,2009-11-28,2.0,0.0,up
3,2009-11-29,2.0,0.0,up
4,2009-11-30,2.01,0.0,up
5,2009-12-01,2.0,0.0,up
6,2009-12-02,2.0,0.0,up
7,2009-12-03,2.0,0.0,up
8,2009-12-04,2.0,0.0,up
9,2009-12-05,2.0,0.0,up
10,2009-12-06,2.0,0.0,up
11,2009-12-07,1.99,0.0,up
12,2009-12-08,1.97,0.0,up
13,2009-12-09,1.97,0.0,up
14,2009-12-10,2.01,0.0,up
15,2009-12-11,2.0,0.0,up
16,2009-12-12,2.0,0.0,up
17,2009-12-13,2.0,0.0,up
18,2009-12-14,2.0,0.0,up
19,2009-12-15,2.0,0.0,up
20,2009-12-16,2.0,0.0,up
21,2009-12-17,2.0,0.0,up
22,2009-12-18,2.0,0.0,up
23,2009-12-19,2.0,0.0,up
24,2009-12-20,2.0,0.0,up
25,2009-12-21,2.0,0.0,up
26,2009-12-22,1.99,0.0,up
27,2009-12-23,1.99,0.0,up
28,2009-12-24,1.98,0.0,up
29,2009-12-25,1.98,0.0,up
30,2009-12-26,1.98,0.0,up
31,2009-12-27,1.98,2.0,down
32,2009-12-28,2.0,2.0,neutral
33,2009-12-29,2.0,2.0,neutral
34,2009-12-30,2.0,2.01,down
35,2009-12-31,2.01,2.0,up
36,2010-01-01,2.01,2.0,up
37,2010-01-02,2.01,2.0,up
38,2010-01-03,2.01,2.0,up
39,2010-01-04,1.99,2.0,down
40,2010-01-05,1.98,2.0,down
41,2010-01-06,1.96,1.99,down
42,2010-01-07,2.0,1.97,up
43,2010-01-08,2.0,1.97,up
44,2010-01-09,2.0,2.01,down
45,2010-01-10,2.0,2.0,neutral
46,2010-01-11,2.0,2.0,neutral
47,2010-01-12,2.0,2.0,neutral
48,2010-01-13,2.0,2.0,neutral
49,2010-01-14,2.0,2.0,neutral
50,2010-01-15,2.0,2.0,neutral
51,2010-01-16,2.0,2.0,neutral
52,2010-01-17,2.0,2.0,neutral
53,2010-01-18,1.99,2.0,down
54,2010-01-19,1.99,2.0,down
55,2010-01-20,1.97,2.0,down
56,2010-01-21,2.01,1.99,up
57,2010-01-22,2.0,1.99,up
58,2010-01-23,2.0,1.98,up
59,2010-01-24,2.0,1.98,up
60,2010-01-25,2.01,1.98,up
61,2010-01-26,2.01,1.98,up
62,2010-01-27,2.01,2.0,up
63,2010-01-28,2.01,2.0,up
64,2010-01-29,2.01,2.0,up
65,2010-01-30,2.01,2.01,neutral
66,2010-01-31,2.01,2.01,neutral
67,2010-02-01,2.01,2.01,neutral
68,2010-02-02,2.0,2.01,down
69,2010-02-03,2.0,1.99,up
70,2010-02-04,2.0,1.98,up
71,2010-02-05,2.0,1.96,up
72,2010-02-06,2.0,2.0,neutral
73,2010-02-07,2.0,2.0,neutral
74,2010-02-08,2.0,2.0,neutral
75,2010-02-09,1.99,2.0,down
76,2010-02-10,1.97,2.0,down
77,2010-02-11,2.02,2.0,up
78,2010-02-12,2.02,2.0,up
79,2010-02-13,2.02,2.0,up
80,2010-02-14,2.02,2.0,up
81,2010-02-15,2.02,2.0,up
82,2010-02-16,2.02,2.0,up
83,2010-02-17,2.02,1.99,up
84,2010-02-18,2.02,1.99,up
85,2010-02-19,2.01,1.97,up
86,2010-02-20,2.01,2.01,neutral
87,2010-02-21,2.01,2.0,up
88,2010-02-22,1.98,2.0,down
89,2010-02-23,1.92,2.0,down
90,2010-02-24,1.9,2.01,down
91,2010-02-25,2.02,2.01,up
92,2010-02-26,2.02,2.01,up
93,2010-02-27,2.02,2.01,up
94,2010-02-28,2.02,2.01,up
95,2010-03-01,2.02,2.01,up
96,2010-03-02,2.02,2.01,up
97,2010-03-03,2.01,2.01,neutral
98,2010-03-04,2.02,2.0,up
99,2010-03-05,2.01,2.0,up
100,2010-03-06,2.01,2.0,up
101,2010-03-07,2.01,2.0,up
102,2010-03-08,2.02,2.0,up
103,2010-03-09,2.02,2.0,up
104,2010-03-10,1.99,2.0,down
105,2010-03-11,2.02,1.99,up
106,2010-03-12,2.02,1.97,up
107,2010-03-13,2.02,2.02,neutral
108,2010-03-14,2.02,2.02,neutral
109,2010-03-15,2.01,2.02,down
110,2010-03-16,2.01,2.02,down
111,2010-03-17,2.0,2.02,down
112,2010-03-18,2.01,2.02,down
113,2010-03-19,2.01,2.02,down
114,2010-03-20,2.01,2.02,down
